,Location,Date,Time,People
378,c,010919,110042,17
379,c,010919,110044,16
380,c,010919,110047,14
381,c,010919,110050,16
382,c,010919,110052,15
383,c,010919,110055,16
384,c,010919,110058,14
385,c,010919,110101,18
386,c,010919,110103,15
387,c,010919,110106,16
388,c,010919,110109,13
389,c,010919,110111,12
390,c,010919,110114,11
391,c,010919,110117,12
392,c,010919,110119,16
393,c,010919,110122,14
394,c,010919,110125,13
395,c,010919,110127,11
396,c,010919,110130,17
397,c,010919,110132,17
398,c,010919,110135,13
399,c,010919,110137,14
400,c,010919,110140,16
401,c,010919,110143,14
402,c,010919,110145,15
403,c,010919,110148,13
404,c,010919,110150,17
405,c,010919,110153,15
406,c,010919,110156,13
407,c,010919,110159,13
408,c,010919,110201,15
409,c,010919,110204,13
410,c,010919,110207,19
411,c,010919,110209,12
412,c,010919,110212,14
413,c,010919,110214,11
414,c,010919,110217,10
415,c,010919,110219,14
416,c,010919,110222,14
417,c,010919,110225,16
418,c,010919,110227,18
419,c,010919,110230,14
420,c,010919,110232,13
421,c,010919,110235,15
422,c,010919,110237,13
423,c,010919,110240,14
424,c,010919,110243,14
425,c,010919,110245,13
426,c,010919,110248,12
427,c,010919,110250,16
428,c,010919,110253,13
429,c,010919,110255,13
430,c,010919,110258,11
431,c,010919,110304,12
432,c,010919,110306,12
433,c,010919,110309,9
434,c,010919,110311,10
435,c,010919,110314,10
436,c,010919,110317,8
437,c,010919,110319,7
438,c,010919,110322,8
439,c,010919,110324,9
440,c,010919,110327,8
441,c,010919,110329,7
442,c,010919,110332,5
443,c,010919,110335,7
444,c,010919,110337,5
445,c,010919,110340,5
446,c,010919,110343,6
447,c,010919,110346,6
448,c,010919,110348,7
449,c,010919,110351,6
450,c,010919,110354,5
451,c,010919,110356,5
452,c,010919,110359,6
453,c,010919,110401,7
454,c,010919,110404,6
455,c,010919,110407,7
456,c,010919,110409,8
457,c,010919,110412,7
458,c,010919,110414,4
459,c,010919,110417,2
460,c,010919,110419,2
461,c,010919,110422,2
462,c,010919,110425,1
463,c,010919,110427,1
464,c,010919,110430,2
465,c,010919,110432,2
466,c,010919,110435,2
467,c,010919,110438,2
468,c,010919,110441,2
469,c,010919,110444,2
470,c,010919,110447,1
471,c,010919,110449,2
472,c,010919,110452,2
473,c,010919,110455,2
474,c,010919,110457,2
475,c,010919,110500,2
476,c,010919,110502,3
477,c,010919,110505,2
478,c,010919,110508,0
479,c,010919,110510,0
480,c,010919,110513,0
481,c,010919,110516,0
482,c,010919,110518,0
483,c,010919,110521,1
484,c,010919,110523,2
485,c,010919,110526,4
486,c,010919,110529,3
487,c,010919,110531,6
488,c,010919,110534,5
489,c,010919,110536,6
490,c,010919,110539,4
491,c,010919,110542,6
492,c,010919,110544,4
493,c,010919,110547,2
494,c,010919,110549,2
495,c,010919,110552,3
496,c,010919,110555,3
497,c,010919,110557,3
498,c,010919,110600,5
499,c,010919,110602,5
500,c,010919,110605,6
501,c,010919,110607,6
